time,value,place,location,device
2024-04-22 00:01:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:02:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:03:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:04:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:05:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:06:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:07:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:08:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:09:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:10:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:11:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:12:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:13:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:14:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:15:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:16:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:17:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:18:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:19:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:20:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:21:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:22:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:23:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:24:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:25:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:26:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:27:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:28:00,26.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:29:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:30:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:31:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:32:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:33:00,69.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:34:00,69.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:35:00,69.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:36:00,69.0,class_a,ac_indoor_unit,gems-3500
2024-04-22 00:37:00,69.0,class_a,ac_indoor_unit,gems-3500
